device,deploy,habitat,point,spacing,diel,n_files,ACI,BI,ADI
F1501_A05,day1,forest,1,15,dawn,8,305.12,15.0703,2.065
F1501_A05,day1,forest,1,15,day,8,304.74,11.858,2.0285
F1501_A05,day1,forest,1,15,dusk,8,303.36,14.7187,2.0485
F1501_A05,day1,forest,1,15,night,8,304.58,11.113,2.1744
F1502_A06,day1,forest,2,15,dawn,8,307.9,15.0262,2.2071
F1502_A06,day1,forest,2,15,day,8,301.61,16.2792,1.896
F1502_A06,day1,forest,2,15,dusk,8,314.17,13.1495,2.017
F1502_A06,day1,forest,2,15,night,8,309.37,9.5204,2.1845
F1503_A08,day1,forest,3,15,dawn,8,317.1,9.4152,2.2393
F1503_A08,day1,forest,3,15,day,8,305.88,11.1602,2.1889
F1503_A08,day1,forest,3,15,dusk,8,319.04,10.1548,2.2561
F1503_A08,day1,forest,3,15,night,8,315.23,11.4064,2.2859
P1501_A04,day1,pasture,1,15,dawn,8,300.32,15.9305,2.2094
P1501_A04,day1,pasture,1,15,day,8,303.74,14.5299,1.8718
P1501_A04,day1,pasture,1,15,dusk,8,306.93,13.112,2.1322
P1501_A04,day1,pasture,1,15,night,8,310.99,13.6186,2.2635
P1502_A01,day1,pasture,2,15,dawn,8,300.47,13.4101,2.2048
P1502_A01,day1,pasture,2,15,day,8,312.96,12.8484,1.9827
P1502_A01,day1,pasture,2,15,dusk,8,304.05,13.8531,2.1771
P1502_A01,day1,pasture,2,15,night,8,307.7,13.03,2.1534
P1503_A02,day1,pasture,3,15,dawn,8,303.5,15.898,2.2056
P1503_A02,day1,pasture,3,15,day,8,317.78,15.1592,1.972
P1503_A02,day1,pasture,3,15,dusk,8,315.23,14.9269,2.1101
P1503_A02,day1,pasture,3,15,night,8,307.72,16.789,2.2259
F3001_A01,day2,forest,1,30,dawn,8,302.29,9.9193,2.2793
F3001_A01,day2,forest,1,30,day,8,304.93,15.3033,2.1453
F3001_A01,day2,forest,1,30,dusk,8,317.65,5.5725,2.2996
F3001_A01,day2,forest,1,30,night,8,305.5,5.8374,2.2996
F3002_A05,day2,forest,2,30,dawn,8,309.51,11.0073,2.1749
F3002_A05,day2,forest,2,30,day,8,303.26,11.046,2.1275
F3002_A05,day2,forest,2,30,dusk,8,316.06,3.0996,2.3025
F3002_A05,day2,forest,2,30,night,8,312.79,7.349,2.2857
F3003_A07,day2,forest,3,30,dawn,8,306.9,4.6191,2.2966
F3003_A07,day2,forest,3,30,day,8,306.46,7.3153,2.2588
F3003_A07,day2,forest,3,30,dusk,8,302.69,7.8434,2.069
F3003_A07,day2,forest,3,30,night,8,319.39,7.1287,2.2691
P3001_A06,day2,pasture,1,30,dawn,8,305.95,12.1666,2.0492
P3001_A06,day2,pasture,1,30,day,8,300.6,12.3564,2.2495
P3001_A06,day2,pasture,1,30,dusk,8,328.45,5.1429,2.3005
P3001_A06,day2,pasture,1,30,night,8,302.73,9.6025,2.2985
P3002_A04,day2,pasture,2,30,dawn,8,306.89,11.3347,2.1308
P3002_A04,day2,pasture,2,30,day,8,317.84,13.0084,2.1689
P3002_A04,day2,pasture,2,30,dusk,8,344.23,9.1346,2.2714
P3002_A04,day2,pasture,2,30,night,8,315.07,8.9892,2.0691
F6002_A03,day3,forest,2,60,dawn,8,298.77,11.0184,2.2737
F6002_A03,day3,forest,2,60,day,8,314.11,7.8342,2.2091
F6002_A03,day3,forest,2,60,dusk,8,295.96,13.9597,2.2892
F6002_A03,day3,forest,2,60,night,8,296.98,10.5703,2.2992
F6003_A05,day3,forest,3,60,dawn,8,297.37,8.5899,2.289
F6003_A05,day3,forest,3,60,day,8,311.37,8.988,2.2158
F6003_A05,day3,forest,3,60,dusk,8,301.42,11.0192,2.1318
F6003_A05,day3,forest,3,60,night,8,298.02,11.4297,2.3018
P6002_A02,day3,pasture,2,60,dawn,8,314.23,12.5018,2.2349
P6002_A02,day3,pasture,2,60,day,8,319.37,8.0073,2.1141
P6002_A02,day3,pasture,2,60,dusk,8,312.26,14.0799,2.2181
P6002_A02,day3,pasture,2,60,night,8,319.13,9.3723,2.2772
F1501_A07,day4,forest,1,15,dawn,8,310.53,14.2037,2.1215
F1501_A07,day4,forest,1,15,day,8,306.7,11.8543,2.1481
F1501_A07,day4,forest,1,15,dusk,8,307.94,9.7486,2.2656
F1501_A07,day4,forest,1,15,night,8,316.01,6.2789,2.2657
F1502_A01,day4,forest,2,15,dawn,8,304.97,14.3572,2.1875
F1502_A01,day4,forest,2,15,day,8,301.77,17.8369,2.1287
F1502_A01,day4,forest,2,15,dusk,8,311.91,14.5887,2.2923
F1502_A01,day4,forest,2,15,night,8,316.41,5.7157,2.2787
P1501_A02,day4,pasture,1,15,dawn,8,307.02,12.5695,2.2101
P1501_A02,day4,pasture,1,15,day,8,308.43,11.0355,2.2005
P1501_A02,day4,pasture,1,15,dusk,8,312.32,9.4065,2.2056
P1501_A02,day4,pasture,1,15,night,8,341.45,10.4145,2.3018
P1502_A05,day4,pasture,2,15,dawn,8,314.41,12.9442,2.2509
P1502_A05,day4,pasture,2,15,day,7,307.91,12.3927,2.2792
P1502_A05,day4,pasture,2,15,dusk,8,314.02,11.6754,2.2922
P1502_A05,day4,pasture,2,15,night,8,311.65,7.3644,2.2612
P1503_A03,day4,pasture,3,15,dawn,8,331.39,13.1442,2.1529
P1503_A03,day4,pasture,3,15,day,8,322.58,10.5752,2.1738
P1503_A03,day4,pasture,3,15,dusk,8,330.03,11.0554,2.2879
P1503_A03,day4,pasture,3,15,night,8,322.34,9.8715,2.1654
F3001_A02,day5,forest,1,30,dawn,8,298.66,12.9967,2.2534
F3001_A02,day5,forest,1,30,day,8,303.65,10.1679,2.2569
F3001_A02,day5,forest,1,30,dusk,8,313.49,7.6976,2.1627
F3001_A02,day5,forest,1,30,night,8,299.48,6.4863,2.279
F3002_A03,day5,forest,2,30,dawn,8,301.77,8.5952,2.2828
F3002_A03,day5,forest,2,30,day,8,314.82,11.9525,2.1031
F3002_A03,day5,forest,2,30,dusk,8,317.3,7.2281,2.2344
F3002_A03,day5,forest,2,30,night,8,306.09,7.2243,2.2772
F3003_A01,day5,forest,3,30,dawn,8,299.37,8.315,2.2067
F3003_A01,day5,forest,3,30,day,8,316.53,7.3877,2.0985
F3003_A01,day5,forest,3,30,dusk,8,320.36,4.73,2.2967
F3003_A01,day5,forest,3,30,night,8,305.49,6.6227,2.1402
P3001_A05,day5,pasture,1,30,dawn,8,300.25,12.3,2.2626
P3001_A05,day5,pasture,1,30,day,8,300.43,10.9731,2.2463
P3001_A05,day5,pasture,1,30,dusk,8,311.57,8.0347,2.2756
P3001_A05,day5,pasture,1,30,night,8,300.1,10.6247,2.1535
P3002_A04_6julio,day5,pasture,2,30,dawn,8,320.47,15.3887,2.195
P3002_A04_6julio,day5,pasture,2,30,day,8,321.18,11.9609,2.1833
P3002_A04_6julio,day5,pasture,2,30,dusk,8,325.24,7.4756,2.2109
P3002_A04_6julio,day5,pasture,2,30,night,8,311.98,9.609,1.9927
P3003_A06,day5,pasture,3,30,dawn,8,310.0,11.8884,2.2428
P3003_A06,day5,pasture,3,30,day,8,310.43,10.5123,2.2319
P3003_A06,day5,pasture,3,30,dusk,8,323.66,9.7793,2.0792
P3003_A06,day5,pasture,3,30,night,8,311.39,9.8395,2.1908
F6002_A05,day6,forest,2,60,dawn,8,301.73,8.3831,2.2921
F6002_A05,day6,forest,2,60,day,8,307.15,9.7608,1.9506
F6002_A05,day6,forest,2,60,dusk,8,324.31,5.267,2.301
F6002_A05,day6,forest,2,60,night,8,308.28,9.9995,2.2955
F6003_A06,day6,forest,3,60,dawn,8,305.65,10.9534,1.9699
F6003_A06,day6,forest,3,60,day,8,327.3,6.9607,2.0222
F6003_A06,day6,forest,3,60,dusk,8,322.49,4.6889,2.2802
F6003_A06,day6,forest,3,60,night,8,309.84,8.6124,2.2295
P6001_A02,day6,pasture,1,60,dawn,8,301.8,9.3166,2.2511
P6001_A02,day6,pasture,1,60,day,8,318.03,8.2177,1.9673
P6001_A02,day6,pasture,1,60,dusk,8,318.62,9.4608,2.2977
P6001_A02,day6,pasture,1,60,night,8,308.99,12.204,2.132
P6003_A01,day6,pasture,3,60,dawn,8,304.66,12.9227,2.2932
P6003_A01,day6,pasture,3,60,day,8,340.82,11.633,1.8828
P6003_A01,day6,pasture,3,60,dusk,8,315.8,14.1418,2.0038
P6003_A01,day6,pasture,3,60,night,8,301.92,12.7064,2.2631
